ADDR_LN_1,CITY,LATTD,LNGTD
1144 COUNTY ROAD 17,HALLETTSVILLE,29.276304,-96.648845
6912 COUNTY ROAD 444,HALLETTSVILLE,29.276591,-96.932758
1756 COUNTY ROAD 15AA,HALLETTSVILLE,29.277079,-96.817426
19390 FM 531,HALLETTSVILLE,29.278962,-96.914421
19322 FM 531,HALLETTSVILLE,29.279024,-96.915731
19239 FM 531,HALLETTSVILLE,29.279115,-96.92293
11560 US HIGHWAY 77 S,HALLETTSVILLE,29.27952,-96.969357
18711 FM 531,HALLETTSVILLE,29.279752,-96.930766
3280 COUNTY ROAD 456,HALLETTSVILLE,29.280679,-96.931616
5959 COUNTY ROAD 12,HALLETTSVILLE,29.280941,-96.897106
5959 COUNTY ROAD 12,HALLETTSVILLE,29.280941,-96.897106
11476 US HIGHWAY 77 S,HALLETTSVILLE,29.281039,-96.969266
5834 COUNTY ROAD 12,HALLETTSVILLE,29.282311,-96.893847
17175 FM 531,HALLETTSVILLE,29.282943,-96.950116
11342 US HIGHWAY 77 S,HALLETTSVILLE,29.2834,-96.969126
17000 FM 531,HALLETTSVILLE,29.28416,-96.954162
5588 COUNTY ROAD 12,HALLETTSVILLE,29.284822,-96.887863
16497 FM 531,HALLETTSVILLE,29.285379,-96.95996
12097 COUNTY ROAD 1,HALLETTSVILLE,29.285577,-96.901795
11180 US HIGHWAY 77 S,HALLETTSVILLE,29.286297,-96.968977
11891 COUNTY ROAD 1,HALLETTSVILLE,29.2886,-96.904445
8988 COUNTY ROAD 15,HALLETTSVILLE,29.288808,-96.834749
11026 US HIGHWAY 77 S,HALLETTSVILLE,29.28899,-96.968811
11026 US HIGHWAY 77 S,HALLETTSVILLE,29.28899,-96.968811
15651 FM 531,HALLETTSVILLE,29.28945,-96.973352
11645 COUNTY ROAD 1,HALLETTSVILLE,29.289984,-96.906795
11645 COUNTY ROAD 1,HALLETTSVILLE,29.289984,-96.906795
11428 COUNTY ROAD 1,HALLETTSVILLE,29.290308,-96.907571
2462 COUNTY ROAD 456,HALLETTSVILLE,29.29136,-96.929285
19651 FM 530,HALLETTSVILLE,29.291733,-96.694976
14893 FM 531,HALLETTSVILLE,29.29257,-96.982145
14779 FM 531,HALLETTSVILLE,29.292578,-96.983997
19449 FM 530,HALLETTSVILLE,29.293595,-96.694981
19442 FM 530,HALLETTSVILLE,29.293648,-96.694986
14949 FM 531,HALLETTSVILLE,29.294061,-96.979902
11219 COUNTY ROAD 1,HALLETTSVILLE,29.294265,-96.911635
19361 FM 530,HALLETTSVILLE,29.294435,-96.695063
19359 FM 530,HALLETTSVILLE,29.294458,-96.695065
19359 FM 530,HALLETTSVILLE,29.294458,-96.695065
19357 FM 530,HALLETTSVILLE,29.294491,-96.695068
10564 US HIGHWAY 77 S,HALLETTSVILLE,29.295191,-96.96847
11048 COUNTY ROAD 1,HALLETTSVILLE,29.296757,-96.913249
11048 COUNTY ROAD 1,HALLETTSVILLE,29.296757,-96.913249
10967 COUNTY ROAD 1,HALLETTSVILLE,29.298614,-96.913761
815 COUNTY ROAD 430,HALLETTSVILLE,29.29867,-96.999977
